wl,nr,ni
0.0006199,0.9999048,0.0000319
0.0006351,0.9999131,0.0000346
0.0006508,0.9999222,0.0000376
0.0006665,0.9999318,0.0000408
0.0006831,0.9999113,0.00000393
0.0006997,0.999885,0.00000432
0.0007166,0.999874,0.00000474
0.0007345,0.999863,0.0000052
0.0007523,0.999854,0.0000057
0.0007705,0.999844,0.00000624
0.0007897,0.999834,0.00000685
0.0008087,0.999824,0.00000749
0.0008287,0.999814,0.00000822
0.0008492,0.999803,0.00000899
0.0008694,0.999792,0.00000981
0.0008906,0.999781,0.0000107
0.0009129,0.999769,0.0000117
0.000935,0.999756,0.0000128
0.0009581,0.999743,0.000014
0.0009816,0.999729,0.0000153
0.001005,0.999715,0.0000167
0.00103,0.9997,0.0000183
0.001055,0.999684,0.00002
0.001081,0.999667,0.0000218
0.001108,0.999649,0.0000239
0.001134,0.999631,0.000026
0.001162,0.999612,0.0000284
0.001191,0.999591,0.000031
0.00122,0.99957,0.0000339
0.00125,0.999548,0.000037
0.001281,0.999524,0.0000404
0.001312,0.9995,0.0000441
0.001343,0.999474,0.000048
0.001376,0.999447,0.0000524
0.00141,0.999418,0.0000573
0.001445,0.999388,0.0000625
0.001479,0.999358,0.000068
0.001516,0.999325,0.0000742
0.001554,0.999289,0.0000811
0.001592,0.999253,0.0000884
0.001631,0.999214,0.0000966
0.001671,0.999174,0.000105
0.00171,0.999134,0.000114
0.001754,0.999088,0.000125
0.001797,0.999041,0.000136
0.001839,0.99899,0.000148
0.001884,0.99894,0.000161
0.001931,0.99889,0.000176
0.001977,0.99883,0.000191
0.002026,0.99878,0.000208
0.002077,0.99871,0.000227
0.002127,0.99865,0.000247
0.002179,0.99858,0.000269
0.002234,0.99851,0.000294
0.002287,0.99843,0.000319
0.002344,0.99836,0.000347
0.002403,0.99827,0.000379
0.00246,0.99819,0.000411
0.00252,0.9981,0.000447
0.002583,0.998,0.000487
0.002643,0.99791,0.000527
0.002707,0.99781,0.000572
0.002774,0.9977,0.000622
0.002844,0.99759,0.000677
0.00291,0.99748,0.000734
0.002987,0.99735,0.000801
0.003054,0.99723,0.000863
0.003131,0.9971,0.000939
0.003212,0.99695,0.00102
0.003289,0.99682,0.00111
0.003369,0.99667,0.0012
0.003453,0.99651,0.00131
0.003532,0.99636,0.00141
0.003625,0.99619,0.00153
0.003712,0.99602,0.00166
0.003803,0.99585,0.0018
0.003899,0.99566,0.00195
0.003986,0.99549,0.0021
0.004092,0.99528,0.00229
0.004188,0.99509,0.00247
0.00429,0.99489,0.00267
0.004396,0.99468,0.00288
0.004508,0.99446,0.00313
0.004609,0.99427,0.00336
0.004732,0.99403,0.00365
0.004843,0.99382,0.00393
0.004959,0.99361,0.00423
0.005081,0.99339,0.00457
0.005209,0.99318,0.00494
0.005344,0.99296,0.00534
0.005462,0.99277,0.0057
0.00561,0.99254,0.00619
0.00574,0.99236,0.00663
0.005876,0.99219,0.00712
0.006018,0.99206,0.00763
0.006168,0.99192,0.00818
0.006325,0.99179,0.00879
0.006491,0.99169,0.00946
0.00663,0.99167,0.01
0.006812,0.99164,0.0107
0.006965,0.99164,0.0114
0.007125,0.99167,0.0121
0.007293,0.99176,0.0128
0.007469,0.99235,0.0145
0.007653,0.99235,0.0145
0.007847,0.99287,0.0152
0.008051,0.9934,0.0157
0.008266,0.99384,0.0162
0.008434,0.99415,0.0166
0.00867,0.9946,0.0172
0.008856,0.99496,0.0177
0.009116,0.99549,0.0183
0.009322,0.99594,0.0188
0.009537,0.99645,0.0194
0.009762,0.99705,0.02
0.009998,0.99773,0.0206
0.01025,0.99856,0.0212
0.01051,0.99958,0.0219
0.01078,1.0008,0.0226
0.01107,1.0024,0.0233
0.01127,1.0039,0.0239
0.01159,1.007,0.0247
0.01192,1.0132,0.0256
0.01216,1.0241,0.0262
0.0122,1.025,0.024
0.0123,1.03,0.005
0.0124,1.032,0.00154
0.0125,1.034,0.001
0.0126,1.034,0.00102
0.0128,1.034,0.00109
0.013,1.03,0.00113
0.0132,1.022,0.0012
0.0136,1.008,0.0013
0.014,1,0.00143
0.015,0.993,0.00178
0.016,0.991,0.00215
0.017,0.988,0.00254
0.018,0.985,0.00297
0.019,0.982,0.00343
0.02,0.978,0.00393
0.021,0.976,0.00443
0.022,0.972,0.005
0.023,0.968,0.00553
0.024,0.964,0.0061
0.025,0.96,0.0067
0.026,0.956,0.0073
0.027,0.952,0.00785
0.028,0.947,0.0084
0.029,0.942,0.009
0.03,0.937,0.0095
0.031,0.93,0.01
0.032,0.925,0.0104
0.033,0.918,0.01
0.034,0.913,0.0113
0.035,0.906,0.0117
0.036,0.899,0.0121
0.037,0.893,0.0124
0.038,0.885,0.0128
0.039,0.877,0.0132
0.04,0.869,0.0135
0.041,0.86,0.0138
0.042,0.853,0.0142
0.043,0.843,0.0147
0.044,0.834,0.0152
0.045,0.824,0.0158
0.046,0.814,0.0168
0.047,0.803,0.0178
0.048,0.792,0.0192
0.049,0.778,0.0205
0.05,0.766,0.0223
0.051,0.752,0.0243
0.052,0.737,0.0264
0.053,0.722,0.0292
0.054,0.706,0.0325
0.055,0.691,0.0365
0.056,0.675,0.0405
0.057,0.659,0.0455
0.058,0.644,0.051
0.059,0.627,0.058
0.06,0.61,0.065
0.061,0.59,0.074
0.062,0.567,0.0835
0.063,0.549,0.093
0.06358,0.542,0.14
0.064,0.53,0.1
0.065,0.513,0.113
0.06526,0.514,0.163
0.06702,0.485,0.189
0.06888,0.455,0.219
0.06985,0.44,0.237
0.07085,0.426,0.255
0.07187,0.411,0.275
0.07293,0.397,0.296
0.0738,0.386,0.314
0.07424,0.379,0.323
0.07469,0.374,0.333
0.07514,0.369,0.342
0.0763,0.357,0.367
0.07749,0.345,0.394
0.07872,0.333,0.421
0.07999,0.323,0.45
0.0813,0.313,0.479
0.08266,0.304,0.51
0.08406,0.296,0.541
0.08551,0.288,0.573
0.087,0.281,0.607
0.08856,0.275,0.641
0.09017,0.269,0.677
0.09184,0.265,0.714
0.09357,0.261,0.752
0.09537,0.258,0.792
0.09724,0.256,0.833
0.09919,0.255,0.875
0.1012,0.256,0.918
0.1033,0.257,0.963
0.1055,0.259,1.01
0.1078,0.263,1.06
0.1102,0.267,1.11
0.1127,0.272,1.16
0.1153,0.278,1.21
0.1181,0.286,1.26
0.121,0.295,1.32
0.124,0.306,1.38
0.1272,0.318,1.45
0.1305,0.332,1.51
0.134,0.348,1.58
0.1378,0.367,1.66
0.1417,0.389,1.73
0.1459,0.414,1.82
0.1503,0.444,1.9
0.155,0.478,2
0.16,0.517,2.1
0.1653,0.563,2.21
0.171,0.618,2.32
0.1771,0.682,2.45
0.1837,0.756,2.58
0.1907,0.847,2.73
0.1984,0.968,2.89
